domain,avg_score,sentence
blog,1.6,"But Allocco, who is embroiled in a breach-of-contract lawsuit with Jackson's estate, has an intriguing idea that could ensure the ""This Is It"" slogan is firmly relegated to the rearview mirror, turn it into ""This Is Now!"""
news,2.4,"It is believed the discussions between the former Prime Minister, now a peace envoy to the region, and the supermarket chain, whose slogan is 'Every little helps', ended after the two sides failed to agree terms."
answers,0.6,I believe that it was salt and lemon juice.
answers,-1.4,yes but not for 15 years or so.
answers,1.0,Knead until stiff enough to hold its shape.
blog,1.4,Friends and family gathered today at Woodrow Wilson High School in Long Beach to mourn the death of a 16-year-old honors student and track athlete who was gunned down as she and her friends were leaving a football game the night before.
answers,-1.8,"Next year, I will be......."
answers,-1.4,Face That Can't Be Fogotten 51.
email,-1.5,John
answers,-1.2,Nothing is like steroids but steroids.
news,-2.0,"""My village Town Hall built with a huge sum of money has been swallowed,"" he said."
news,-0.4,"The largely online school has about 40,000 students registered for its introductory clergy-training course and more lighthearted fare about zombies, vampires and Harry Potter."
answers,-1.4,"As long you don't eat to much, you won't through up."
email,0.4,"By copy of this email, I am asking that Brian get in touch with you about your idea."
answers,-2.0,please I'll pick you if you answer one of my questions.
answers,-1.0,"That's cute, and could work on women as well."
answers,-2.8,cheers.........
answers,-3.0,hsm scene it?
blog,-2.0,Happy surfing!
news,-0.6,"""How dare he ...he has committed an pardonable sin and must own it up,"" he told TOI."
news,1.6,Abdullah has called a press conference for 10 a.m. Sunday to announce his final decision after Afghans and Westerners close to the challenger said he would withdraw.
blog,0.0,"""I miss being at sea,"" she said."
answers,-2.75,hips don't lie -- shakira
email,0.8,I know this is a very demanding time for you
answers,-2.2,ask her if she could hlep u in class.
email,1.6,"I am forwarding it to you in an attempt to seek your intervention if possible, to keep Frank Savage from proceeding."
answers,-2.6,N Carliona; isn't that where most race car drivers come from??
news,1.6,"But if the government established a link between the pirates and terrorist groups, the payment of ransoms would be considered as funding terrorism and be banned by law."
blog,-2.6,They're making it kind of a pain in the ass again (to see Trip).
news,1.2,"It will take awhile to determine whether the cars in effect belong to the foundation or to the separate corporation, Treece said."
email,-0.8,I never heard back from that office again.
news,-0.2,"The new fix isn't a vast departure from the original design; rather, it includes modifications designed to keep the brace from jiggling around."
answers,1.75,Parkinson's disease may affect your ability to control how you move.
email,1.4,I signed the reciprocal concealed weapon permit bill last legislative session.
email,1.2,Loretta wanted to hire Lucy and other individuals with disabilities to train the VR counselors.
email,0.2,I'm told that calls will need to be made from the highest levels of the WH to turn those Members around -- staff to staff calls won't cut it.
answers,-2.4,Don't bother with Tidy Cats it's not worth the money.
blog,-2.2,"I said [sarcastically], ""Yes. What are you captain of?"""
email,1.2,Indeed the depth of the systemic problem should be of great concern....
answers,-2.6,ya'll give me your wallet.
news,0.6,"But Mike McGowan, who voted at Moody Park on the near northside, said Brown came off only as an ""old white guy"" in his ads."
answers,-1.0,"I'll Be There, Escape Club 66."
blog,0.2,"Their skipper was a thirty-year-old U.S. Navy Lieutenant named John Bulkeley, who for months had held his disintegrating squadron together by scrounging like a rat among the islands for gasoline, torpedoes, and other basic supplies."
email,2.25,"The data requirements relating to quality, safety and efficacy are not reduced, therefore the time to licence approval will be the same."
answers,0.6,How does it affect dogs?
blog,-0.6,"When the wine was decanted, the particular funnel that the sommelier used caught my friend's eye - it was quite an interesting one."
answers,-2.8,What a load of crap.
answers,1.0,"Antimatter does exist, but it has been limited thusfar."
news,1.6,There was more criticism of the No10 Press machine when the Prime Minister dithered over revealing his favourite biscuit in an interview on the Mumsnet website - even though the question had been expected.
answers,0.8,"As they got closer, they found it was an Iraqi soldier."
answers,-0.4,I could smell the ugly brutes.
email,2.6,"In addition, innocent children and women have been and are being exposed to illegal obscenity, pornography and indecent materials, as well as the disturbing and disgusting sight of men and/or boys who are masturbating themselves while looking at pornography on Defendant's computers."
email,1.75,"Windows Me/XP uses this feature, which is enabled by default, to restore the files on your computer in case they become damaged."
blog,-0.8,"""Where I come from people don't get many chances to do things like this,"" she explained during a smoke break."
answers,-1.0,But I didn't have the nerve.
email,-1.0,"As I have read and interpreted it, I just don't see it."
answers,-1.0,I'm cheap when it comes to clothes.
answers,0.8,"PCPs are usually internists, pediatricians, family doctors, or general practitioners."
email,-0.8,"Jeb, it's great to know that you are behind the campaign."
email,0.2,We saw what a difference it made this last cycle.
email,1.0,"As educational literature demonstrates, turmoil and stress is always a part of school change."
email,2.6,After enjoying the benefits of statewide advertising to get our message out we feel very strongly that we need to secure a permanent funding source to fund voter education.
news,-0.4,"""When a collector's report is bluntly denied by a Chief Justice of a High Court, we have to resort to some independent inquiry,"" the CJI told TOI."
answers,-1.0,Obviously she is not so concerned as to not fly to visit you.
answers,-0.2,Becoming self empowered.
blog,-0.4,Online streaming through Netflix (Nasdaq: NFLX) is now coming to the PS3.
news,-1.2,Signs for the Norteo and Crips gangs are scrawled in huge letters on a wall near the driveway leading into the courtyard.
answers,1.6,The effective date is the beginning of the 1996 fall semester.
email,1.4,The following is a draft response to this e - mail for your review.
answers,-0.2,call your doctor immediately...
answers,-2.8,"Don't watch the show, but maybe the ones you missed are here."
answers,0.6,Hume disputes it.
answers,-1.6,i love shirley temples.
answers,1.2,It is important that the dose be right for you.
news,1.6,The CJI enlarged his initial discreet inquiry when many charges were made against Justice Dinakaran but he bluntly denied the Collector's report on land grabbing.
news,2.2,"""I think I'm the only one in the race - that has actually been in the public, has a record, has been successful in doing something about the issues we all talk about,"" said Litt, a rehabilitation and health care consultant."
